cohort,controller,contract,status,implementation_state,mworks_codegen_state,generated_sil_state,selectable,mission_status,provenance_status,pre_takeoff_status,takeoff_reached,landing_disarm,hover_xy_rmse_m,hover_z_rmse_m,trajectory_status,first_blocker,evidence_paths,claim_ceiling,px4_startup_backend,trajectory_xyz_rmse_m,trajectory_xyz_p95_m,trajectory_xyz_max_m
P1_PID,cascade_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.00920388164203624,0.017624696389858776,not_run,,Results/sunray_ros1/p1_pid_cascade_runtime_r4_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_cascade_runtime_r4_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P1_PID,anti_windup,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.014941094339178205,0.012563740001250146,not_run,,Results/sunray_ros1/p1_pid_anti_windup_runtime_r4_xbias012_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_anti_windup_runtime_r4_xbias012_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P1_PID,feedforward_profile,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.009213526662312416,0.014233421644086397,not_run,,Results/sunray_ros1/p1_pid_feedforward_runtime_r6_ff05_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_feedforward_runtime_r6_ff05_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P1_PID,gain_scheduled_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.007562154916665358,0.014173736048012428,not_run,,Results/sunray_ros1/p1_pid_gain_scheduled_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_gain_scheduled_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P1_PID,fuzzy_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.014190240859973736,0.016755241252079098,not_run,,Results/sunray_ros1/p1_pid_fuzzy_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_fuzzy_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P1_PID,neural_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.013619956852240522,0.016783892783290233,not_run,,Results/sunray_ros1/p1_pid_neural_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_neural_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_takeoff_hover_land,,,,
P2_LINEAR_ROBUST,lqg,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.05751968270141498,0.05622366268766644,not_run,hover_xy_rmse_above_max:0.05751968270141498;hover_xy_max_above_max:0.06594786493098181;hover_z_rmse_above_max:0.05622366268766644;hover_z_max_above_max:0.07285001216967557,Results/control_platform/p2_linear_robust_runtime_20260716/lqg/PX4CTRL_BASIC_MISSION_METRICS.json,executed_not_accepted,,,,
P2_LINEAR_ROBUST,feedback_linearization,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.040061624031686026,0.06049444268045179,not_run,hover_xy_rmse_above_max:0.040061624031686026;hover_xy_max_above_max:0.0538885269235946;hover_z_rmse_above_max:0.06049444268045179;hover_z_max_above_max:0.08143961883526629,Results/control_platform/p2_linear_robust_runtime_20260716/feedback_linearization/PX4CTRL_BASIC_MISSION_METRICS.json,executed_not_accepted,,,,
P2_LINEAR_ROBUST,passivity_based_control,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.03125234705705186,0.05664976329424122,not_run,hover_xy_rmse_above_max:0.03125234705705186;hover_z_rmse_above_max:0.05664976329424122;hover_z_max_above_max:0.07195761943142043,Results/control_platform/p2_linear_robust_runtime_20260716/passivity_based_control/PX4CTRL_BASIC_MISSION_METRICS.json,executed_not_accepted,,,,
P2_LINEAR_ROBUST,adaptive_backstepping,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.4941291107500093,0.40829276904845296,not_run,hover_xy_rmse_above_max:0.4941291107500093;hover_xy_max_above_max:0.5377037841471708;hover_z_rmse_above_max:0.40829276904845296;hover_z_max_above_max:0.4526939850038475,Results/control_platform/p2_linear_robust_runtime_20260716/adaptive_backstepping_retry2/PX4CTRL_BASIC_MISSION_METRICS.json,executed_not_accepted,,,,
