index,x,y,z
0,0.0,0.0,1.0
1,0.20000000000000018,-0.09999999999999964,1.0
2,0.40000000000000013,-0.09999999999999964,1.0
3,0.6000000000000001,-0.09999999999999964,1.0
4,0.8,-0.09999999999999964,1.0
5,1.0,-0.09999999999999964,1.0
6,1.2000000000000002,-0.09999999999999964,1.0
7,1.4000000000000004,-0.09999999999999964,1.0
8,1.6,-0.09999999999999964,1.0
9,1.8000000000000003,0.10000000000000009,1.0
10,2.0,0.30000000000000027,1.0
11,2.2,0.30000000000000027,1.0
12,2.4000000000000004,0.30000000000000027,1.0
13,2.6,0.30000000000000027,1.0
14,2.8000000000000003,0.30000000000000027,1.0
15,3.0,0.30000000000000027,1.0
16,3.2,0.30000000000000027,1.0
17,3.4000000000000004,0.30000000000000027,1.0
18,3.6000000000000005,0.10000000000000009,1.0
19,3.8000000000000007,0.10000000000000009,1.0
20,4.0,-0.09999999999999964,1.0
21,4.2,-0.09999999999999964,1.0
22,4.4,-0.09999999999999964,1.0
23,4.6000000000000005,-0.09999999999999964,1.0
24,4.800000000000001,-0.09999999999999964,1.0
25,5.0,-0.09999999999999964,1.0
26,5.2,-0.09999999999999964,1.0
27,5.4,-0.09999999999999964,1.0
28,5.6000000000000005,-0.09999999999999964,1.0
29,5.800000000000001,-0.09999999999999964,1.0
30,6.0,0.0,1.0
