index,x,y,z
0,-7.5,-6.75,1.0
1,-7.4,-6.54,1.0
2,-7.24,-6.38,1.0
3,-7.08,-6.22,1.0
4,-6.92,-6.0600000000000005,1.0
5,-6.76,-5.9,1.0
6,-6.6,-5.74,1.0
7,-6.4399999999999995,-5.58,1.0
8,-6.279999999999999,-5.42,1.0
9,-6.12,-5.26,1.0
10,-5.96,-5.1,1.0
11,-5.8,-4.9399999999999995,1.0
12,-5.640000000000001,-4.779999999999999,1.0
13,-5.48,-4.62,1.0
14,-5.32,-4.46,1.0
15,-5.16,-4.3,1.0
16,-5.0,-4.140000000000001,1.0
17,-4.84,-3.98,1.0
18,-4.68,-3.82,1.0
19,-4.52,-3.66,1.0
20,-4.36,-3.5,1.0
21,-4.2,-3.34,1.0
22,-4.04,-3.1799999999999997,1.0
23,-3.88,-3.0199999999999996,1.0
24,-3.7199999999999998,-2.8600000000000003,1.0
25,-3.5599999999999996,-2.7,1.0
26,-3.3999999999999995,-2.54,1.0
27,-3.24,-2.38,1.0
28,-3.08,-2.2199999999999998,1.0
29,-2.92,-2.0599999999999996,1.0
30,-2.76,-1.8999999999999995,1.0
31,-2.5999999999999996,-1.7400000000000002,1.0
32,-2.4399999999999995,-1.58,1.0
33,-2.2800000000000002,-1.42,1.0
34,-2.12,-1.2599999999999998,1.0
35,-1.96,-1.0999999999999996,1.0
36,-1.7999999999999998,-0.9399999999999995,1.0
37,-1.6399999999999997,-0.7800000000000002,1.0
38,-1.4799999999999995,-0.7800000000000002,1.0
39,-1.3200000000000003,-0.6200000000000001,1.0
40,-1.1600000000000001,-0.45999999999999996,1.0
41,-1.0,-0.45999999999999996,1.0
42,-0.8399999999999999,-0.2999999999999998,1.0
43,-0.6799999999999997,-0.2999999999999998,1.0
44,-0.5199999999999996,-0.13999999999999968,1.0
45,-0.35999999999999943,-0.13999999999999968,1.0
46,-0.1999999999999993,-0.13999999999999968,1.0
47,-0.03999999999999915,0.020000000000000462,1.0
48,0.120000000000001,0.17999999999999972,1.0
49,0.27999999999999936,0.17999999999999972,1.0
50,0.4399999999999995,0.17999999999999972,1.0
51,0.5999999999999996,0.33999999999999986,1.0
52,0.7599999999999998,0.33999999999999986,1.0
53,0.9199999999999999,0.5,1.0
54,1.08,0.5,1.0
55,1.2400000000000002,0.6600000000000001,1.0
56,1.4000000000000004,0.6600000000000001,1.0
57,1.5600000000000005,0.6600000000000001,1.0
58,1.7200000000000006,0.8200000000000003,1.0
59,1.8800000000000008,0.8200000000000003,1.0
60,2.040000000000001,0.9800000000000004,1.0
61,2.200000000000001,0.9800000000000004,1.0
62,2.3599999999999994,1.1400000000000006,1.0
63,2.5199999999999996,1.1400000000000006,1.0
64,2.6799999999999997,1.3000000000000007,1.0
65,2.84,1.3000000000000007,1.0
66,3.0,1.4600000000000009,1.0
