time,x,y,z,x_ref,y_ref,z_ref
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.4330970474881353e-15,1.6510170200099155e-15,1.5989047436266138e-06,0.0,0.0,0.02
0.02,4.697117117038945e-15,3.136508628405411e-15,3.51222539921037e-06,0.0,0.0,0.04
0.03,6.024694091996915e-15,3.866776359487493e-15,5.5671970023270095e-06,0.0,0.0,0.06
0.04,6.5595544601118556e-15,3.576471280013568e-15,7.67189295478111e-06,0.0,0.0,0.08
0.05,6.1106012235711584e-15,3.201185594171202e-15,9.799032519681088e-06,0.0,0.0,0.1
0.06,5.340053528605136e-15,2.4711316935647106e-15,1.1941814637872601e-05,0.0,0.0,0.12
0.07,4.210688040248908e-15,1.9585595332433678e-15,1.4099038828942935e-05,0.0,0.0,0.14
0.08,3.2223722575510377e-15,1.348360810112891e-15,1.6270856489938446e-05,0.0,0.0,0.16
0.09,2.5808748861569777e-15,3.638969065790023e-16,1.845773813671254e-05,0.0,0.0,0.18
0.1,1.9414170119109884e-15,-6.434441995847547e-16,2.066024991641103e-05,0.0,0.0,0.2
0.11,7.253897553287693e-16,-1.5248428520925634e-15,2.2878979858293005e-05,0.0,0.0,0.22000000000000003
0.12,-6.065727714499197e-16,-2.264896079415484e-15,2.5114542500195276e-05,0.0,0.0,0.24
0.13,-2.191296985961634e-15,-2.8809493311339534e-15,2.736749983803734e-05,0.0,0.0,0.26
0.14,-3.7590137953207765e-15,-3.369009059175931e-15,2.9638579364814157e-05,0.0,0.0,0.28
0.15,-5.532527100855222e-15,-3.847812651433398e-15,3.192824965793735e-05,0.0,0.0,0.3
0.16,-7.346279721085585e-15,-4.336028145167797e-15,3.423739367147111e-05,0.0,0.0,0.32
0.17,-8.800538514184156e-15,-4.722610452077643e-15,3.656648380321674e-05,0.0,0.0,0.34
0.18,-1.0199102459664282e-14,-5.084043901181863e-15,3.891610495272771e-05,0.0,0.0,0.36
0.19,-1.1628699188918174e-14,-5.433749754688323e-15,4.128682279173025e-05,0.0,0.0,0.38
0.2,-1.3093102658380343e-14,-5.726287189953909e-15,4.3680146908950224e-05,0.0,0.0,0.4
0.21,-1.4590780271485088e-14,-5.9765481865212465e-15,4.609557917211537e-05,0.0,0.0,0.42000000000000004
0.22,-1.5981204270303946e-14,-6.176838084714165e-15,4.8534272326477185e-05,0.0,0.0,0.44000000000000006
0.23,-1.7215310398278964e-14,-6.324470349416448e-15,5.099662884475422e-05,0.0,0.0,0.4600000000000001
0.24,-1.8294195822817864e-14,-6.419625682451877e-15,5.348320398942489e-05,0.0,0.0,0.48
0.25,-1.934893505221822e-14,-6.469929959800709e-15,5.599502210626789e-05,0.0,0.0,0.5
0.26,-2.041770548454065e-14,-6.4777038084017596e-15,5.8532846884677276e-05,0.0,0.0,0.52
0.27,-2.1387458141551895e-14,-6.413857503224351e-15,6.109738988252678e-05,0.0,0.0,0.54
0.28,-2.205808449720329e-14,-6.238423316377646e-15,6.36892149028862e-05,0.0,0.0,0.56
0.29,-2.2484762999942625e-14,-5.953026763743744e-15,6.630916056505095e-05,0.0,0.0,0.58
0.3,-2.2629834054968474e-14,-5.544899376696583e-15,6.895796788892734e-05,0.0,0.0,0.6
0.31,-2.280248518361701e-14,-5.140132375648242e-15,7.163642285830568e-05,0.0,0.0,0.62
0.32,-2.2980892915270738e-14,-4.7322972589997414e-15,7.434526854602451e-05,0.0,0.0,0.64
0.33,-2.328332307668289e-14,-4.371050051634811e-15,7.708526618554313e-05,0.0,0.0,0.66
0.34,-2.3770374830580532e-14,-4.0819737350360175e-15,8.00392917245865e-05,0.0,0.0,0.68
0.35000000000000003,-1.8342494216154164e-14,1.2923605681085447e-14,8.815662188653165e-05,0.0,0.0,0.7000000000000001
0.36,-1.1162007459348894e-14,1.832231716644401e-14,0.0001223859625201634,0.0,0.0,0.72
0.37,-2.409401900292123e-15,1.1315671981910418e-14,0.00021051318870631244,0.0,0.0,0.74
0.38,6.446309500914803e-15,-2.7615202928508383e-15,0.00037893037906576655,0.0,0.0,0.76
0.39,1.4707008053776405e-14,-1.5571032286425812e-14,0.0006545458728356875,0.0,0.0,0.78
0.4,2.1710262199025495e-14,-2.5887078463209256e-14,0.0010613083520339944,0.0,0.0,0.8
0.41000000000000003,2.8269892390684442e-14,-3.3967520714885175e-14,0.0016218327137327135,0.0,0.0,0.8200000000000001
0.42,3.5212917863872465e-14,-4.125189863337498e-14,0.00235910153782723,0.0,0.0,0.8400000000000001
0.43,4.239789019853474e-14,-4.921356644730942e-14,0.0032959272533450833,0.0,0.0,0.86
0.44,4.9790052795282175e-14,-5.828180896497007e-14,0.004446363573027953,0.0,0.0,0.8800000000000001
0.45,5.744660857457272e-14,-6.851670149476788e-14,0.005829132846867366,0.0,0.0,0.9
0.46,6.519788906052295e-14,-7.946330230436865e-14,0.007463676422265232,0.0,0.0,0.9200000000000002
0.47000000000000003,7.27092816721734e-14,-9.047858041129995e-14,0.009366498319173468,0.0,0.0,0.9400000000000001
0.48,8.002359896925558e-14,-1.0117446251283937e-13,0.011553122096102398,0.0,0.0,0.96
0.49,8.733901413961693e-14,-1.116074752019787e-13,0.01403706226277755,0.0,0.0,0.9800000000000001
0.5,9.483041039881065e-14,-1.2186462251437607e-13,0.01683172099003794,0.0,0.0,1.0
0.51,1.0225685483998479e-13,-1.320236036723813e-13,0.01994890439326906,0.0,0.0,1.02
0.52,1.0950677672868185e-13,-1.4224333488934003e-13,0.023400115777643914,0.0,0.0,1.04
0.53,1.1692695595633566e-13,-1.529695378201758e-13,0.0271947043873044,0.0,0.0,1.06
0.54,1.2464623990853358e-13,-1.6439322642119925e-13,0.03134130260504817,0.0,0.0,1.08
0.55,1.3194895485303708e-13,-1.7551111258673977e-13,0.035848725571253216,0.0,0.0,1.1
0.56,1.3885175150955295e-13,-1.86119854819206e-13,0.04072358415732441,0.0,0.0,1.12
0.5700000000000001,1.4582919680642288e-13,-1.9658227271664454e-13,0.04597188257548626,0.0,0.0,1.1400000000000001
0.58,1.5273916593658697e-13,-2.06556283861908e-13,0.05160078933216497,0.0,0.0,1.16
0.59,1.5949029572448926e-13,-2.162330978222559e-13,0.057613940820188204,0.0,0.0,1.18
0.6,1.6604776522697818e-13,-2.2564639623880892e-13,0.06401645599451602,0.0,0.0,1.2
0.61,1.7249574205728621e-13,-2.349959759410517e-13,0.07081098380010173,0.0,0.0,1.22
0.62,1.7900678603455476e-13,-2.4445636284781407e-13,0.0780000083853161,0.0,0.0,1.24
0.63,1.8555909118699801e-13,-2.541372987785173e-13,0.08558772823084297,0.0,0.0,1.26
0.64,1.9239871474396057e-13,-2.6355078133360186e-13,0.09357502412884966,0.0,0.0,1.28
0.65,1.9970222724913753e-13,-2.7242829368951086e-13,0.10196370164767839,0.0,0.0,1.3
0.66,2.0766183785831488e-13,-2.804523137570555e-13,0.1107553576046266,0.0,0.0,1.32
0.67,2.1657597433764923e-13,-2.875608647972761e-13,0.11994923765287525,0.0,0.0,1.34
0.68,2.2674734147573047e-13,-2.933895289208851e-13,0.12954498882861074,0.0,0.0,1.36
0.6900000000000001,2.385385631427007e-13,-2.976859458427035e-13,0.13954098276511903,0.0,0.0,1.3800000000000001
0.7000000000000001,2.46090605289207e-13,-3.047968362317049e-13,0.14993789279908903,0.0,0.0,1.4000000000000001
0.71,2.475484585669015e-13,-3.161226678270815e-13,0.16073374358250633,0.0,0.0,1.42
0.72,2.400906753180033e-13,-3.3381426066330523e-13,0.1719262123353561,0.0,0.0,1.44
0.73,2.2834213052210856e-13,-3.545129997061284e-13,0.18351323354258683,0.0,0.0,1.46
0.74,2.205158431511551e-13,-3.722188637255011e-13,0.19549251279325253,0.0,0.0,1.48
0.75,2.207681630846922e-13,-3.8396485658084093e-13,0.20786107455165975,0.0,0.0,1.5
0.76,2.349778097152451e-13,-3.8543741921545484e-13,0.22061590651123225,0.0,0.0,1.52
0.77,2.5116215223227016e-13,-3.8515446004321676e-13,0.23375400432439725,0.0,0.0,1.54
0.78,2.7848099169753277e-13,-3.7631350047906863e-13,0.24727199453887397,0.0,0.0,1.56
0.79,3.1849179993481466e-13,-3.5752102030891017e-13,0.26116647238374463,0.0,0.0,1.58
0.8,3.611234836347044e-13,-3.3645349996131567e-13,0.27543328769816405,0.0,0.0,1.6
0.81,4.0041789066601013e-13,-3.173716719407997e-13,0.29006856718754426,0.0,0.0,1.6200000000000003
0.8200000000000001,4.2707968689213595e-13,-3.0699542204803215e-13,0.3050683012537466,0.0,0.0,1.6400000000000001
0.8300000000000001,4.320472210849825e-13,-3.119796012286508e-13,0.32042825546530307,0.0,0.0,1.6600000000000001
0.84,4.4227480252979845e-13,-3.1279446122093303e-13,0.3361437863562708,0.0,0.0,1.6800000000000002
0.85,4.443317571087475e-13,-3.193841917006132e-13,0.3522104265697537,0.0,0.0,1.7
0.86,4.407463265658884e-13,-3.3013411864175645e-13,0.36862347683630775,0.0,0.0,1.72
0.87,4.346274420289602e-13,-3.429155134538304e-13,0.3853781259237504,0.0,0.0,1.7399999999999998
0.88,4.2337924364359e-13,-3.5907084800824313e-13,0.40246947968535796,0.0,0.0,1.7600000000000002
0.89,4.1615532407425074e-13,-3.722379772778434e-13,0.41989252417692285,0.0,0.0,1.78
0.9,4.208085872576482e-13,-3.7665555890553875e-13,0.43764217349210477,0.0,0.0,1.8
0.91,4.4755418087463937e-13,-3.6479488103786063e-13,0.4557132711814017,0.0,0.0,1.8199999999999998
0.92,4.691432024306533e-13,-3.565710384877634e-13,0.4741006807876101,0.0,0.0,1.8400000000000003
0.93,4.950405796904582e-13,-3.4491731378745575e-13,0.49279914987056433,0.0,0.0,1.86
0.9400000000000001,5.2500595021241e-13,-3.298330436404848e-13,0.5118034136416433,0.0,0.0,1.8800000000000001
