metric,value
generated_at,2026-05-09T09:38:17
raw_file,results/raw/mworks_mcp_example1_pid_smoke.csv
scene_id,mworks_mcp_example1
controller_id,pid_baseline
row_count,101
duration_s,1.0
position_rmse_m,0.9779591521275217
x_rmse_m,2.5459991144761275e-13
y_rmse_m,2.1145057973877107e-13
z_rmse_m,0.9779591521275217
max_position_error_m,1.3694021270177918
steady_state_error_m,0.8737184287305172
settling_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,nan
pitch_rmse_rad,nan
yaw_rmse_rad,nan
max_tilt_rad,nan
minimum_altitude_m,0.0
altitude_violation_count,65
tilt_violation_count,0
constraint_violation_count,65
control_energy,nan
control_smoothness,nan
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,59.74363418422131
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,17.92309025526639
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_smoke
